,x86,x86_64,armhf,aarch64,ppc64le,s390x
main/font-misc-ethiopic,1,1,1,1,1,1
main/font-misc-meltho,1,1,1,1,1,1
main/font-misc-misc,1,1,1,1,1,1
main/font-mutt-misc,1,1,1,1,1,1
main/font-schumacher-misc,1,1,1,1,1,1
main/font-screen-cyrillic,1,1,1,1,1,1
main/font-sony-misc,1,1,1,1,1,1
main/font-sun-misc,1,1,1,1,1,1
main/font-util,1,1,1,1,1,1
main/font-winitzki-cyrillic,1,1,1,1,1,1
main/font-xfree86-type1,1,1,1,1,1,1
main/fontconfig,1,1,1,1,1,1
main/fontsproto,1,1,1,1,1,1
main/fortify-headers,1,1,1,1,1,1
main/fossil,1,1,1,1,1,1
main/fping,1,1,1,1,1,1
main/fprobe,1,1,1,1,1,1
main/fprobe-ulog,1,1,1,1,1,1
main/freeglut,1,1,1,1,1,1
main/freeradius,1,1,1,1,1,1
main/freeradius-client,1,1,1,1,1,1
main/freerdp,1,1,1,1,1,1
main/freeswitch,1,1,1,1,1,1
main/freeswitch-sounds-en-us-callie-32000,1,1,1,1,1,1
main/freeswitch-sounds-en-us-callie-8000,1,1,1,1,1,1
main/freeswitch-sounds-es-mx-maria-44100,1,1,1,1,1,1
main/freeswitch-sounds-fr-ca-june-8000,1,1,1,1,1,1
main/freeswitch-sounds-fr-fr-sibylle-8000,1,1,1,1,1,1
main/freeswitch-sounds-music-32000,1,1,1,1,1,1
main/freeswitch-sounds-music-8000,1,1,1,1,1,1
main/freeswitch-sounds-pt-br-karina-8000,1,1,1,1,1,1
main/freeswitch-sounds-ru-RU-elena-32000,1,1,1,1,1,1
main/freeswitch-sounds-ru-RU-elena-8000,1,1,1,1,1,1
main/freetds,1,1,1,1,1,1
main/freetype,1,1,1,1,1,1
main/fribidi,1,1,1,1,1,1
main/frotz,1,1,1,1,1,1
main/fsarchiver,1,1,1,1,1,1
main/fts,1,1,1,1,1,1
main/fuse,1,1,1,1,1,1
main/galculator,1,1,1,1,1,1
main/gamin,1,1,1,1,1,1
main/gapk,1,1,1,1,1,1
main/garcon,1,1,1,1,1,1
main/gawk,1,1,1,1,1,1
main/gc,1,1,1,1,1,1
main/gcalcli,1,1,1,1,1,1
main/gcc,1,1,1,1,1,1
main/gconf,1,1,1,1,1,1
main/gcr,1,1,1,1,1,1
main/gd,1,1,1,1,1,1
main/gdb,1,1,1,1,1,1
main/gdbm,1,1,1,1,1,1
main/gdk-pixbuf,1,1,1,1,1,1
